id,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,notes
1,0.69,0.66,0.72,0.6,0.68,0.68,0.74,0.68,0.72,0.63,0.67,0.7,6.1
2,0.73,0.6,0.72,0.66,0.69,0.68,0.67,0.69,0.73,0.72,0.7,0.67,6.2
3,0.75,0.64,0.69,0.71,0.71,0.66,0.6,0.72,0.72,0.72,0.72,0.72,6.3
4,0.7,0.69,0.72,0.68,0.71,0.63,0.64,0.75,0.65,0.71,0.61,0.75,7.1
5,0.75,0.63,0.6,0.73,0.69,0.66,0.66,0.63,0.72,0.64,0.75,0.7,7.2
6,0.69,0.67,0.74,0.62,0.67,0.69,0.61,0.72,0.66,0.74,0.65,0.64,7.3
7,0.64,0.64,0.6,0.69,0.7,0.64,0.67,0.6,0.72,0.64,0.71,0.7,8.1
8,0.71,0.7,0.63,0.61,0.67,0.63,0.75,0.69,0.63,0.64,0.63,0.65,8.2
9,0.64,0.71,0.69,0.71,0.66,0.69,0.63,0.65,0.6,0.73,0.61,0.66,8.3
10,0.62,0.64,0.63,0.62,0.65,0.7,0.73,0.73,0.75,0.72,0.66,0.64,9.1
11,0.68,0.69,0.71,0.68,0.63,0.64,0.75,0.68,0.67,0.69,0.6,0.74,9.2
12,0.68,0.62,0.6,0.72,0.67,0.6,0.63,0.68,0.66,0.75,0.75,0.75,9.3
